Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Metafield: etsy.bestseller [boolean],Metafield: etsy.new_arrival [boolean],Metafield: etsy.free_shipping [boolean],Metafield: etsy.items_sold [number_integer]
personalized-cutting-board,Personalized Cutting Board,HandmadeStore,physical,"kitchen, home-decor, personalized",TRUE,,,SKU-CB-001,500,shopify,10,deny,manual,45.99,55.99,TRUE,TRUE,,https://example.com/image1.jpg,1,Personalized Cutting Board,FALSE,Custom Cutting Board,Personalized wooden cutting board for kitchen,"Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils",,,,,,new,,,,,,,,kg,,25.00,active,TRUE,FALSE,TRUE,156
custom-photo-frame,Custom Photo Frame,ArtisanCrafts,physical,"photo-frame, personalized, home-decor",TRUE,,,SKU-PF-002,300,shopify,25,deny,manual,29.99,39.99,TRUE,TRUE,,https://example.com/image2.jpg,1,Custom Photo Frame,FALSE,Personalized Photo Frame,Custom photo frame with engraving,"Home & Garden > Decor > Picture Frames",,,,,,new,,,,,,,,kg,,15.00,active,FALSE,TRUE,TRUE,89
handmade-silver-necklace,Handmade Silver Necklace,JewelryArtisan,physical,"jewelry, handmade, silver, necklace",TRUE,,,SKU-SN-003,50,shopify,15,deny,manual,89.99,109.99,TRUE,TRUE,,https://example.com/image3.jpg,1,Handmade Silver Necklace,FALSE,Silver Jewelry Necklace,Handmade sterling silver necklace with pendant,"Apparel & Accessories > Jewelry > Necklaces",,,,,,new,,,,,,,,kg,,35.00,active,TRUE,FALSE,FALSE,234
vintage-travel-poster,Vintage Travel Poster,VintageArt,physical,"vintage, poster, travel, wall-art",TRUE,Size,12x16,SKU-VP-004,100,shopify,8,deny,manual,24.99,,,TRUE,TRUE,,https://example.com/image4.jpg,1,Vintage Travel Poster,FALSE,Vintage Art Poster,Vintage travel poster for wall decoration,"Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Craft Supplies",,,,,,used,,,,,,,,kg,,8.00,active,FALSE,FALSE,TRUE,67
custom-ceramic-mug,Custom Ceramic Mug,CeramicStudio,physical,"mug, ceramic, custom, kitchen",TRUE,,,SKU-CM-005,400,shopify,30,deny,manual,18.99,24.99,TRUE,TRUE,,https://example.com/image5.jpg,1,Custom Ceramic Mug,FALSE,Personalized Coffee Mug,Custom ceramic mug with personalized design,"Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs",,,,,,new,,,,,,,,kg,,7.50,active,FALSE,TRUE,TRUE,123
handwoven-scarf,Handwoven Wool Scarf,TextileArt,physical,"scarf, wool, handwoven, fashion",TRUE,Color,Blue,SKU-WS-006,200,shopify,12,deny,manual,65.99,79.99,TRUE,TRUE,,https://example.com/image6.jpg,1,Handwoven Wool Scarf,FALSE,Artisan Wool Scarf,Handwoven wool scarf in beautiful colors,"Apparel & Accessories > Clothing Accessories > Scarves & Shawls",,,,,,new,,,,,,,,kg,,25.00,active,TRUE,FALSE,TRUE,198
organic-candle-set,Organic Soy Candle Set,NaturalLiving,physical,"candles, organic, soy, aromatherapy",TRUE,,,SKU-CS-007,600,shopify,20,deny,manual,42.99,52.99,TRUE,TRUE,,https://example.com/image7.jpg,1,Organic Soy Candle Set,FALSE,Natural Soy Candles,Set of 3 organic soy candles with essential oils,"Home & Garden > Decor > Candles & Candle Holders",,,,,,new,,,,,,,,kg,,18.00,active,FALSE,TRUE,FALSE,87
leather-wallet,Handcrafted Leather Wallet,LeatherCraft,physical,"wallet, leather, handcrafted, accessories",TRUE,,,SKU-LW-008,150,shopify,18,deny,manual,78.99,95.99,TRUE,TRUE,,https://example.com/image8.jpg,1,Handcrafted Leather Wallet,FALSE,Premium Leather Wallet,Handcrafted genuine leather wallet for men,"Apparel & Accessories > Handbags Wallets & Cases > Wallets",,,,,,new,,,,,,,,kg,,45.00,active,TRUE,FALSE,TRUE,145
baby-blanket,Knitted Baby Blanket,BabyComfort,physical,"baby, blanket, knitted, soft",TRUE,,,SKU-BB-009,300,shopify,25,deny,manual,38.99,48.99,TRUE,TRUE,,https://example.com/image9.jpg,1,Knitted Baby Blanket,FALSE,Soft Baby Blanket,Hand-knitted soft baby blanket in organic cotton,"Baby & Toddler > Baby Bedding > Baby Blankets",,,,,,new,,,,,,,,kg,,12.00,active,FALSE,TRUE,TRUE,76
plant-hanger,Macrame Plant Hanger,BohoDecor,physical,"macrame, plant-hanger, boho, home-decor",TRUE,,,SKU-PH-010,100,shopify,35,deny,manual,28.99,35.99,TRUE,TRUE,,https://example.com/image10.jpg,1,Macrame Plant Hanger,FALSE,Boho Plant Hanger,Macrame plant hanger for hanging plants,"Home & Garden > Decor > Decorative Accessories",,,,,,new,,,,,,,,kg,,8.50,active,TRUE,FALSE,FALSE,112
